Read new prefs: /homes/zl3114/.config/blender/2.78/config/userpref.blend
found bundled python: /homes/zl3114/blender/2.78/python
read blend: /homes/zl3114/bdep/sample1/job.blend
Fra:1 Mem:20.88M (0.00M, Peak 20.88M) | Time:00:00.31 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Sphere.003
Fra:1 Mem:21.53M (0.00M, Peak 23.74M) | Time:00:00.32 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Sphere.002
Fra:1 Mem:22.18M (0.00M, Peak 24.39M) | Time:00:00.33 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Sphere.001
Fra:1 Mem:22.83M (0.00M, Peak 25.04M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Sphere
Fra:1 Mem:23.48M (0.00M, Peak 25.69M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Cube
Fra:1 Mem:23.48M (0.00M, Peak 25.69M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:1 Mem:23.48M (0.00M, Peak 25.69M) | Time:00:00.34 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:1 Mem:23.48M (0.00M, Peak 25.69M) | Time:00:00.35 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:23.48M (0.00M, Peak 27.76M) | Time:00:00.46 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:1 Mem:23.48M (0.00M, Peak 27.76M) | Time:00:00.46 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:1 Mem:23.48M (0.00M, Peak 27.76M) | Time:00:00.46 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:1 Mem:23.99M (0.00M, Peak 27.76M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:1 Mem:23.99M (0.00M, Peak 27.76M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
Fra:1 Mem:23.99M (0.00M, Peak 27.76M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes Flags
Fra:1 Mem:23.99M (0.00M, Peak 27.76M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects
Fra:1 Mem:23.99M (0.00M, Peak 27.76M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:23.99M (0.00M, Peak 27.76M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:23.99M (0.00M, Peak 27.76M) | Time:00:00.67 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes
